50036195;Deutsch;long;HP Hochglanz-Fotopapier 10x15
50004948;Deutsch;long;HP 92285A|85A Tonerkartusche schwarz für LaserJet 500/500 Plus/2686 A/C/D/TA/TZ
50004992;Deutsch;long;HP C3102A Toner cyan, 3.000 Seiten/5% für Color LaserJet/LaserJet 5/5 M/LaserJet Color
50004993;Deutsch;long;HP C3103A Toner gelb, 3.000 Seiten/5% für Color LaserJet/LaserJet 5/5 M/LaserJet Color
50004957;Deutsch;long;HP 92298X|98X Tonerkartusche schwarz, 8.800 Seiten ISO/IEC 19752 für LaserJet 4/4 M/M Plus/MX/Plus/5/5 M
50004958;Deutsch;long;HP 92820524 Nylonband schwarz für 2749 A/B/2752 A/B/2754 A/B/560
50004960;Deutsch;long;HP 92820543 Farbband 20 Yds, Inhalt 4.000.000 Zeichen für 12983 A/2614 A/2618 A
50088798;Deutsch;long;HP DeskJet 3000 InkJetdrucker (CH393B)
50088799;Deutsch;long;HP DeskJet 3050 Multifunktions-InkJet (CH376B)
50014540;Deutsch;long;HP C4945A|83 Tintenpatrone magenta hell, UV-Tinte, Inhalt 680 ml für DesignJet 5000 PS UV Printing/UV Printing/5500 PS UV/UV 42 Inch/60 Inch/UV 42 Inch/60 Inch
99902271;Deutsch;long;eClass 5.1.1
99902451;Deutsch;long;Nylonband mit Nachtränksystem schwarz
99902452;Deutsch;long;Nylonband mit Nachtränksystem violett
145222250;Deutsch;long;Tintenpatrone gelb
145222270;Deutsch;long;Tintenpatrone rot
145222280;Deutsch;long;Tintenpatrone blau
145222310;Deutsch;long;Tintenpatrone color
145222330;Deutsch;long;Sonstige
145231220;Deutsch;long;Nylonband schwarz-rot
145231230;Deutsch;long;Nylonband violett
145231250;Deutsch;long;Nylonband blau
145231910;Deutsch;long;Assorted Colors
145231920;Deutsch;long;Elektro-Thermal-Band
145231940;Deutsch;long;Thermo-Carbon Rolle
145231960;Deutsch;long;Refill Box
145231980;Deutsch;long;Aufbügelband
50004716;Deutsch;long;HP C4682A Drum Kit für 5000 C 30/30 D/40/40 D
50032933;Deutsch;long;HP Hochglanz-Fotopapier Premium Fotopapier
50032937;Deutsch;long;HP Fotopapier matt  30,5m Fotopapier
50032942;Deutsch;long;HP Hochglanz-Fotopapier Premium + 10x15
50032947;Deutsch;long;HP Fotopapier matt Fotopapier
50014056;Deutsch;long;HP C3212A Nylonband weiss für Linejet LPQ 1000/475/500/800/1000 Q/1500 Q/500 Q
50005101;Deutsch;long;HP C4801AE|10 Druckkopf cyan, 24.000 Seiten, Inhalt 8 ml für HP DeskJet 2000
50014456;Deutsch;long;HP C8543X|43X Tonerkartusche schwarz, 30.000 Seiten ISO/IEC 19752 für LaserJet 9000 HNS/L MFP/9040 MFP/9050/9050 DN/MFP/N
50027447;Deutsch;long;HP Q7954AE|57+58 Druckkopfpatrone color + Druckkopf Foto für HP DeskJet Series 5550/5650/OfficeJet 4200 Series/PhotoSmart 7660
50013650;Deutsch;long;HP C4930A|81 Tintenpatrone schwarz, Inhalt 680 ml für HP DesignJet 5000
50013651;Deutsch;long;HP C4931A|81 Tintenpatrone cyan, Inhalt 680 ml für HP DesignJet 5000
50013653;Deutsch;long;HP C4933A|81 Tintenpatrone gelb, Inhalt 680 ml für HP DesignJet 5000
50024521;Deutsch;long;HP C5081A|90 Druckkopf, Druckkopfreiniger + Tintenpatrone gelb, 20.000 Seiten, Inhalt 400 ml, VE=3 für DesignJet 4000/4000 PS/4020 PS 42 Inch/42 Inch/4520/4520 HD/PS
50013655;Deutsch;long;HP C4935A|81 Tintenpatrone magenta hell, Inhalt 680 ml für HP DesignJet 5000
50032949;Deutsch;long;HP Fotopapier  11,6m Papier
50032953;Deutsch;long;HP Fotopapier  Satin 30,5m Papier
50032957;Deutsch;long;HP Fotopapier seidenmatt  30,5M Papier
50032961;Deutsch;long;HP Glanz-Fotopapier Grossformat /LFP
50032964;Deutsch;long;HP Etiketten  148x105mm Etiketten
50005084;Deutsch;long;HP C4192A Toner cyan, 6.000 Seiten ISO/IEC 19798 für Color LaserJet 4500/4500 DN/N/4550/4550 DN/HDN/N
50005085;Deutsch;long;HP C4193A Toner magenta, 6.000 Seiten ISO/IEC 19798 für Color LaserJet 4500/4500 DN/N/4550/4550 DN/HDN/N
50005087;Deutsch;long;HP C4195A Drum Kit, 25.000 Seiten ISO/IEC 19798 für Color LaserJet 4500/4500 DN/N/4550/4550 DN/HDN/N
50005003;Deutsch;long;HP C5073A|83 Tintenpatrone cyan, UV-Tinte, 1.300 Seiten, Inhalt 680 ml, VE=3 für DesignJet 5000 PS UV Printing/UV Printing/5500 PS UV/UV 42 Inch/60 Inch/UV 42 Inch/60 Inch
50005005;Deutsch;long;HP C5072A|83 Tintenpatrone schwarz, UV-Tinte, 1.312 Seiten, Inhalt 680 ml, VE=3 für DesignJet 5000 PS UV Printing/UV Printing/5500 PS UV/UV 42 Inch/60 Inch/UV 42 Inch/60 Inch
50005010;Deutsch;long;HP C5066A|81 Tintenpatrone schwarz, 1.000 Seiten, Inhalt 680 ml, VE=3 für HP DesignJet 5000
50005014;Deutsch;long;HP C5069A|81 Tintenpatrone gelb, 1.000 Seiten, Inhalt 680 ml, VE=3 für HP DesignJet 5000
50005015;Deutsch;long;HP C5068A|81 Tintenpatrone magenta, 1.000 Seiten, Inhalt 680 ml, VE=3 für HP DesignJet 5000
50005016;Deutsch;long;HP C5070A|81 Tintenpatrone cyan hell, 1.000 Seiten, Inhalt 680 ml, VE=3 für HP DesignJet 5000
